"id","company_name","registration_number","category","state","original_website","aum","contact_email","contact_phone","business_summary","primary_focus","validated_urls","confidence_level","data_completeness"
654,"Navkar Nivesh Private Limited","ROW-5154",NULL,NULL,"https://navkarnivesh.com/",NULL,NULL,NULL,"Navkar Nivesh is a Non-Banking Financial Company (NBFC) that offers financial empowerment to individuals, entrepreneurs, and small businesses through accessible credit. They aim to bridge the credit gap for the underserved by providing simple, transparent, and fair lending experiences. The company has been at the forefront of financial empowerment in India for over 30 years.","MSME","{about:https://navkarnivesh.com/about-us/,products:https://navkarnivesh.com/msme-loans/,homepage:https://navkarnivesh.com/,team:https://navkarnivesh.com/contact-us/}","high","1.00"
655,"NCML Finance Private Limited","ROW-5175",NULL,NULL,"https://www.ncml.com/",NULL,NULL,NULL,"NCML is a commodity-based service provider offering various financial services, including collateral management, financial management, and weather intelligence. It is an RBI-registered NBFC with a focus on rural and agri-business finance.","MSME","{homepage:https://www.ncml.com/}","low","0.86"
656,"Neelachal Marketing (P) Ltd","ROW-5182",NULL,NULL,"https://neelachalfinance.com/",NULL,NULL,NULL,"Neelachal Finance is a financial services company that provides various loan products, including personal loans, business loans, home loans, and auto loans. The company was founded by Neelachal Leasing & Finance in 1999 and has since expanded its services to become a single window hub for providing all financial solutions. It has expertise in debt collection, risk management, retail credit, and sales in the banking and financial services industry.","SME","{homepage:https://neelachalfinance.com/,about:https://neelachalfinance.com/about-the-founders/,products:https://neelachalfinance.com/,team:https://neelachalfinance.com/our-team/}","low","0.86"
657,"Neelanchal Holdings Pvt. Ltd.","ROW-5187",NULL,NULL,"https://neelanchal.in/",NULL,NULL,NULL,"Neelanchal Udyog Ltd. is a Non-Banking Financial Institution (NBFC) registered with RBI since 2004, offering loans through a blend of traditional and fintech methods in India.","MSME","{team:https://neelanchal.in/contact/,products:https://neelanchal.in/lendplus/,homepage:https://neelanchal.in/,about:https://neelanchal.in/about/}","medium","1.00"
658,"Neelanchal Udyog Ltd.","ROW-5188",NULL,NULL,"https://neelanchal.in/",NULL,NULL,NULL,"Neelanchal Udyog Ltd. is a Non-Banking Financial Institution (NBFC) registered with RBI since 2004, offering loans through a blend of traditional and fintech methods in India.","MSME","{team:https://neelanchal.in/contact/,products:https://neelanchal.in/lendplus/,homepage:https://neelanchal.in/,about:https://neelanchal.in/about/}","medium","1.00"
659,"Neuzen Finance Private Limited (Formerly known as Umang Trading Private Limited)","ROW-5232",NULL,NULL,"https://neuzen.in/",NULL,NULL,NULL,"Neuzen Finance is a Non-Banking Finance Company (NBFC) registered with the Reserve Bank of India, offering various financial products such as personal loans, business loans, mortgage loans, and loans against shares. The company aims to empower individuals and businesses across the nation through innovative solutions and unwavering support. Its vision is to be the catalyst of financial growth, driving prosperity and success for every Indian.","MSME","{about:https://neuzen.in/about-us,team:https://neuzen.in/our-team-1,products:https://neuzen.in/,homepage:https://neuzen.in/}","high","1.00"
660,"Newa Investments Pvt. Ltd.","ROW-5244",NULL,NULL,"https://newainvestments.com/",NULL,NULL,NULL,"Newa Investments is a Non-Deposit taking – Non Banking Financial Company (NBFC) engaged in the business of investment in shares & securities and financial activities, primarily serving retail customers.","MSME","{homepage:https://newainvestments.com/,about:https://newainvestments.com/company-profile/,team:https://newainvestments.com/contact/}","high","1.00"
661,"Nidhi Lakshmi Finance Private Limited","ROW-5258",NULL,NULL,"https://www.nidhilakshmi.com/",NULL,NULL,NULL,"Nidhi Lakshmi Finance provides loan against property (LAP) solutions for individuals and small businesses, offering flexible repayment terms and competitive interest rates.","MSME","{team:https://www.nidhilakshmi.com/contact-us,about:https://www.nidhilakshmi.com/our-story/,homepage:https://www.nidhilakshmi.com/,products:https://www.nidhilakshmi.com/contact-us}","medium","0.86"
662,"Nightingale Finvest Pvt. Ltd.","TEMP-1771682710",NULL,NULL,"https://nightingalefinvest.in/",NULL,NULL,NULL,"Nightingale Finvest Private Limited is an NBFC-MFI providing microfinance to low-income groups, evolving from a charitable society in Assam. It offers loans and financial services to poor and low-income groups to generate more income and raise living standards. The company has expanded its activities since 2011.","MSME","{homepage:https://nightingalefinvest.in/,team:https://nightingalefinvest.in/our-teams/,about:https://nightingalefinvest.in/about-company/,products:https://nightingalefinvest.in/loans/indivitual-lending/}","medium","0.86"
663,"Nipha Finance Private Limited","ROW-5301",NULL,NULL,"https://www.niphaindia.com/group-company",NULL,NULL,NULL,"Nipha India is a precision manufacturing solutions provider with a legacy of success spanning decades, delivering high-quality products globally. They have 9 state-of-the-art production units and export to over 30 countries. Their mission is to establish themselves as a trusted global business partner for OEMs.","MSME","{homepage:https://www.niphaindia.com/group-company,about:https://www.niphaindia.com/about-us,products:https://www.niphaindia.com/product/parts-sub-assemblies,team:https://www.niphaindia.com/contact-us}","high","1.00"
664,"Nippon Services & Holdings (P) Ltd","ROW-5302",NULL,NULL,"https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-Banking-and-Financial-Services-Fund.aspx",NULL,NULL,NULL,"Nippon India Mutual Fund offers various financial services, including banking and financial services sector investments, with the primary objective of generating long-term capital growth.","MSME","{homepage:https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-Banking-and-Financial-Services-Fund.aspx,products:https://mf.nipponindiaim.com/FundsAndPerformance/_layouts/15/Authenticate.aspx?Source=%2FFundsAndPerformance%2FPages%2FNipponIndia%2DBanking%2Dand%2DFinancial%2DServices%2DFund%2Easpx,about:https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-Banking-and-Financial-Services-Fund.aspx/knowledge-center/all-about-sip}","medium","0.86"
665,"Nipun Securities Ltd.","ROW-5305",NULL,NULL,"https://www.nipunfinserv.com/TermsConditions",NULL,NULL,NULL,"Nipun Finserv is an NBFC that provides various financial services including investment, insurance, and loans. It distributes financial products through its website and mobile application, in partnership with Prudent Corporate Advisory Services Limited.","Multi-Product","{homepage:https://www.nipunfinserv.com/TermsConditions}","medium","0.86"
666,"Nirala Leasing & Finance Company Private Limited","ROW-5307",NULL,NULL,"https://company.vakilsearch.com/nirala-leasing-and-finance-company-private-limited/U99999MH1996PTC102636",NULL,NULL,NULL,"The NBFC provides various company registration services, including private limited company registration, partnership firm registration, and sole proprietorship registration.","Not specified on website","{about:https://company.vakilsearch.com,team:https://company.vakilsearch.com/nirala-leasing-and-finance-company-private-limited/U99999MH1996PTC102636/partnership-firm-registration,homepage:https://company.vakilsearch.com/nirala-leasing-and-finance-company-private-limited/U99999MH1996PTC102636,products:https://company.vakilsearch.com/nirala-leasing-and-finance-company-private-limited/U99999MH1996PTC102636/}","medium","0.86"
667,"Nirantara Finaccess Private Limited","TEMP-1771683119",NULL,NULL,"https://www.nirantarafinaccess.in/",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
668,"Nirmal Bang Financial Services Pvt. Ltd. [Formerly: Nadi Finance & Investment Pvt. Ltd.]","ROW-5311",NULL,NULL,"https://www.nirmalbang.com/",NULL,NULL,NULL,"Nirmal Bang is a leading stock broking firm in India, offering various financial services such as equity and derivatives trading, forex trading, commodity trading, institutional broking, and more.","Not specified on website","{team:https://www.nirmalbang.com/contact-us.aspx,about:https://www.nirmalbang.com/about-nirmalbang.aspx,homepage:https://www.nirmalbang.com/,products:https://www.nirmalbang.com/products-and-services/equity-and-derivatives-trading.aspx}","low","0.71"
669,"Nirman Securities Limited","ROW-5316",NULL,NULL,"https://nirmanbroking.com/",NULL,NULL,NULL,"Nirman Broking is a stock broking firm offering various financial services including demat and trading accounts, mutual funds, IPOs, corporate FDs, and more. They have over 35 years of experience in the stock market and provide interactive platforms with multiple scanners and indicators for technical analysis. Their services cater to both retail and institutional clients.","Multi-Product","{homepage:https://nirmanbroking.com/,about:https://nirmanbroking.com/mutual-fund/fund-profile.aspx,team:https://nirmanbroking.com/static/partner-us.aspx,products:https://nirmanbroking.com/static/loan.aspx}","medium","0.86"
670,"Nitstone Finserv Private Limited","ROW-5340",NULL,NULL,"https://www.nitstone.com/",NULL,NULL,NULL,"Nitstone Finserv is a non-deposit taking Non-Banking Finance Company (NBFC) registered with the Reserve Bank of India, offering customized financing solutions to clients across various market segments.","Multi-Product","{team:https://www.nitstone.com/contact,about:https://www.nitstone.com/corporate/who-we-are,homepage:https://www.nitstone.com/,products:https://www.nitstone.com/corporate/what-we-do}","medium","0.86"
671,"Nixa Fincap Private Limited (Earlier known as Xander Finance Private Limited)","ROW-5349",NULL,NULL,"https://nixafincap.com/",NULL,NULL,NULL,"Nixa Fincap Private Limited is a systemically important Non-deposit accepting Non-Banking Financial Company in India, established in 2010 under license from the Reserve Bank of India (RBI), providing end to end credit solutions including advisory services, deal structuring, financing, and workouts to investors, developers, asset owners, private equity owners and large corporations across various industries.","MSME","{homepage:https://nixafincap.com/}","medium","1.00"
672,"Niyogin Fintech Limited","ROW-5351",NULL,NULL,"https://www.niyogin.com/",NULL,NULL,NULL,"Niyogin Niyogin Fintech Ltd is an NBFC that provides financial solutions to MSMEs and individuals, offering embedded lending, distribution network, and innovative products.","MSME","{about:https://www.niyogin.com/about-us,products:https://www.niyogin.com/Embedded-Finance,homepage:https://www.niyogin.com/}","high","1.00"
673,"NKC Finance Private Limited","ROW-5355",NULL,NULL,"https://www.nkcfinance.com/aboutus.php",NULL,NULL,NULL,"NKC Finance is an NBFC registered with RBI, focusing on the financial needs of micro, small & medium enterprises, aiming to provide timely credit in an efficient & customer-friendly manner.","MSME","{homepage:https://www.nkcfinance.com/aboutus.php}","medium","1.00"
674,"Nomura Fixed Income Securities Limited","ROW-5367",NULL,NULL,"https://www.nomuraholdings.com/en/company/group/asia/nfispl.html",NULL,NULL,NULL,"Nomura is a financial services company providing various financial products and services, including securities, asset management, and banking. It offers wealth management, investment management, and research services to individuals and businesses. The company has a strong presence in Japan and globally.","Multi-Product","{team:https://www.nomuraholdings.com/en/company/group/asia/nfispl.html/en/company/group/holdings/management.html,about:https://www.nomuraholdings.com/en/company/group/asia/nfispl.html/en/index.html,products:https://www.nomuraholdings.com/en/company/group/asia/nfispl.html/en/company/group/ngfc.html,homepage:https://www.nomuraholdings.com/en/company/group/asia/nfispl.html}","medium","0.86"
675,"North East Hire Purchase Company (India) Pvt Ltd.","ROW-5376",NULL,NULL,"https://www.north-east.in/",NULL,NULL,NULL,"North-East Hire Purchase Pvt Ltd provides comprehensive financial solutions for individuals and businesses, aiming to help customers achieve their dreams and secure their future.","MSME","{homepage:https://www.north-east.in/}","medium","0.86"
676,"Northern Projects Ltd","ROW-5385",NULL,NULL,"https://www.northernproj.co.in/",NULL,NULL,NULL,"Northern Projects Ltd is a Non-Banking Finance Company (NBFC) that offers various financial services including home loans, car and vehicle loans, business loans, and MSME loans. They aim to provide quick loan approval, competitive interest rates, and excellent customer service. The company has a strong presence in rural and semi-urban areas of Rajasthan.","MSME","{homepage:https://www.northernproj.co.in/}","medium","0.86"
677,"Northlink Fiscal & Capital Services Ltd.","ROW-5386",NULL,NULL,"https://www.northlink.co.in/",NULL,NULL,NULL,"NORTHLINK FISCAL & CAPITAL SERVICES LIMITED is a public limited listed company providing various financial services including finance, construction, trading, and agencies.","MSME","{homepage:https://www.northlink.co.in/}","medium","0.86"
678,"Novatis Finovative Limited","ROW-5392",NULL,NULL,"https://finovative.in/",NULL,NULL,NULL,"Finovative is an Investment Banking Firm providing valuation services, deal structuring, financial due diligence, and fund raising in debt and equity. They assist various domestic and overseas corporations with their business activities. The company has a Pan India presence.","Not specified on website","{about:https://finovative.in/about/,team:https://finovative.in/contact/,products:https://finovative.in/business-valuation-services/,homepage:https://finovative.in/}","medium","0.86"
679,"Nsmk Investments Pvt. Ltd.","ROW-5404",NULL,NULL,"https://www.nsmkinvestments.in/",NULL,NULL,NULL,"NSMK is a Non-Banking Financial Company that provides a wide range of financial services, including personal loans, business loans, supply chain finance, and gold loans. They aim to empower individuals and businesses with tailored financial solutions. Their services are designed to meet unique needs.","MSME","{homepage:https://www.nsmkinvestments.in/}","high","1.00"
680,"Octal Securities & Services (P) Ltd","ROW-5436",NULL,NULL,"https://octal-projects-private-limited.charteredone.com/U70109WB2016PTC216685",NULL,NULL,NULL,"OCTAL PROJECTS PRIVATE LIMITED is a private limited company incorporated on 19 Jul 2016, classified as Non-government company and involved in Real Estate Activities With Own Or Leased Property N.E.C. It has authorized share capital of Rs. 133,200,000 and paid up capital of Rs. 133,100,000.","Not specified on website","{homepage:https://octal-projects-private-limited.charteredone.com/U70109WB2016PTC216685}","low","0.71"
681,"Ojas Suppliers Limited","ROW-5445",NULL,NULL,"https://ojas-suppliers-limited.charteredone.com/U51909DL1995PLC276907",NULL,NULL,NULL,"OJAS SUPPLIERS LIMITED is a Non-government company involved in Other Wholesale N.E.C. and has been incorporated for 30 years, with authorized share capital of Rs. 59,500,000 and paid up capital of Rs. 58,486,000.","Not specified on website","{homepage:https://ojas-suppliers-limited.charteredone.com/U51909DL1995PLC276907}","medium","0.86"
682,"Oleevia Grameen Credits Private Limited (Earlier known as Shree Ganesh Stock Private Limited)","ROW-5449",NULL,NULL,"https://oleeviagrameencredits.com/",NULL,NULL,NULL,"Oleevia Grameen Credits is a modern Non-Banking Finance Company offering innovative financial products and services to its customers, with the mission to provide a wide range of financial services through innovation, technology, and unparalleled customer service.","MSME","{team:https://oleeviagrameencredits.com/leadership/,about:https://oleeviagrameencredits.com/about-us/,homepage:https://oleeviagrameencredits.com/,products:https://oleeviagrameencredits.com/services/gold-loan/}","medium","1.00"
683,"Olympiaa Financiers Karur Private Limited","ROW-5456",NULL,NULL,"http://www.olympiaafinanciers.com/",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
684,"Omega Trade Enterprises Ltd","ROW-5469",NULL,NULL,"https://www.indiratrade.com/company-profile/board-members/omegatradeenter",NULL,NULL,NULL,"Omega Trade Enterprises Ltd. is a Private NBFC providing various financial services including equity trading, derivatives trading, mutual funds, and IPO services.","MSME","{about:https://www.indiratrade.com/about-us,products:https://www.indiratrade.com/static/services.aspx,homepage:https://www.indiratrade.com/company-profile/board-members/omegatradeenter,team:https://www.indiratrade.com/business-partner}","medium","0.86"
685,"Omkaar Finmax Private Limited","ROW-5472",NULL,NULL,"https://omkaar.in/",NULL,NULL,NULL,"Omkaar Finmax Private Limited is an NBFC offering various loan products for self-employed professionals, business persons, and startups. These loans are customizable with flexible repayment terms and attractive interest rates. The company provides hassle-free documentation and fast disbursal.","MSME","{homepage:https://omkaar.in/}","medium","0.86"
686,"Optimix Securities (P) Ltd","ROW-5489",NULL,NULL,"http://optimixadvisors.com/",NULL,NULL,NULL,"Optimix Advisors is a four-decade-old, sector-agnostic Investment Bank specializing in solving client problems by providing optimal and tailored solutions. They arrange equity and debt funding for companies from the Series A stage through IPO and post-IPO stages. The firm has expertise in various transactions including fundraises, M&A deals, IPOs, and secondary blocks.","Multi-Product","{homepage:http://optimixadvisors.com/}","high","1.00"
687,"Orchid Credits Private Limited","ROW-5501",NULL,NULL,"https://www.orchidcredits.com/",NULL,NULL,NULL,"Orchid Credits Private Limited is a Non-Banking Finance Company (NBFC) registered with the Reserve Bank of India, offering secured loans against hypothecation of assets and properties.","MSME","{homepage:https://www.orchidcredits.com/}","low","0.86"
688,"Orchid Securities (P) Ltd.","ROW-5503",NULL,NULL,"https://www.orchidsecuritiesltd.com/",NULL,NULL,NULL,"I Secure Credit & Capital Services Limited is a public listed company that provides credit and capital services. The company was incorporated in 1994 and has been changing its name since 2021. It offers various financial products and services.","MSME","{homepage:https://www.orchidsecuritiesltd.com/}","high","1.00"
689,"Oriental Finstock Services  Pvt.Ltd","ROW-5510",NULL,NULL,"https://www.orientalfinstock.com/",NULL,NULL,NULL,"Oriental Finstock Services Private Limited is a registered NBFC regulated by the Reserve Bank of India, providing smart, flexible, and reliable financial services for individuals, businesses, and communities.","MSME","{homepage:https://www.orientalfinstock.com/}","medium","1.00"
690,"Osprey Finvest  Pvt Ltd","ROW-5520",NULL,NULL,"http://www.osprey-finvest-pl.cc/",NULL,NULL,NULL,"Swift Cash is a loan application designed and developed by OSPREY FINVEST PRIVATE LIMITED, offering fast loan services with low interest rates and flexibility.","MSME","{homepage:http://www.osprey-finvest-pl.cc/}","high","0.86"
691,"Oxyzo Financial Services Limited","ROW-5532",NULL,NULL,"https://www.oxyzo.in/",NULL,NULL,NULL,"Oxyzo is a leading lending option for SMEs in India, offering credit solutions and loans customised to help SMEs expand their operations, revenue, and profit margins. They offer various loan products across term loans, working capital solutions, low-interest rates, collateral-free credit options, and fast loan processing timelines. Oxyzo aims to continuously innovate in the B2B financial services space through end-to-end capabilities.","MSME","{about:https://www.oxyzo.in/about/info,team:https://www.oxyzo.in/direct-selling-agent,products:https://www.oxyzo.in/all-products,homepage:https://www.oxyzo.in/}","high","1.00"
692,"P G Commercials Pvt. Ltd.","ROW-5539",NULL,NULL,"https://vanicommercials.com/",NULL,NULL,NULL,"Vani Commercials Limited is a listed NBFC empowering MSMEs and retail borrowers with tailored financing solutions since 1988. They pride themselves on transparent, quick, and customer-centric credit delivery. The company operates strictly in compliance with applicable laws and RBI regulations.","MSME","{about:https://vanicommercials.com/index.php/about-us/,homepage:https://vanicommercials.com/,products:https://vanicommercials.com/index.php/loan-products/,team:https://vanicommercials.com/index.php/contact/}","high","1.00"
693,"P G Nahar Finance Limited","ROW-5540",NULL,NULL,"https://www.naharcredits.in/",NULL,NULL,NULL,"Nahar Credits is an NBFC that offers a wide range of financial services, including personal loans, consumer durable loans, and digital lending platform. They provide easy-to-get loans with minimum documentation for various needs such as travel, medical, marriage, or home renovation. Their products cater to individual and business customers.","Multi-Product","{team:https://www.naharcredits.in/contact-us,homepage:https://www.naharcredits.in/}","medium","0.86"
694,"P J Credit Capital Ltd.","ROW-5542",NULL,NULL,"https://pjcreditcapital.in/about/",NULL,NULL,NULL,"PJ Credit Capital is a Non-Banking Financial Institution (NBFC) that provides customized financial solutions to individuals and businesses. It operates on a robust business model with a strong emphasis on cultivating long-term relationships with stakeholders. The company aims to empower financial aspirations through tailored solutions.","MSME","{homepage:https://pjcreditcapital.in/about/,about:https://pjcreditcapital.in/about/,products:https://pjcreditcapital.in/services/,team:https://pjcreditcapital.in/management-team/}","high","1.00"
695,"P Jainex Trade & Finance Pvt Ltd","ROW-5543",NULL,NULL,"https://jainexfin.com/",NULL,NULL,NULL,"Jainex is a duly registered Non-Banking Financial Company (NBFC) providing responsible and structured capital to invest in long-term growth opportunities of emerging and established businesses in India and abroad through secured lending.","MSME","{homepage:https://jainexfin.com/}","medium","1.00"
696,"Paisalo Digital Limited","ROW-5593",NULL,NULL,"https://www.paisalo.in/",NULL,NULL,NULL,"Paisalo Digital Limited is an NBFC that offers various loan products, including personal loans and co-lending with five banks. The company aims to empower lives through its High Tech: High Touch approach. It has a strong presence across 22 states.","Multi-Product","{homepage:https://www.paisalo.in/}","high","1.00"
697,"Pali Commercial Co Ltd","ROW-5596",NULL,NULL,"https://www.palicommercial.com/",NULL,NULL,NULL,"Pali Commercial Company Limited is a Non Deposit taking Non-Banking Financial Company registered with Reserve Bank of India, primarily extending financial help to companies engaged in various activities.","MSME","{homepage:https://www.palicommercial.com/}","medium","1.00"
698,"Palli Pragoti Financial Services Private Limited (Formerly Kamala Trades & Holdings Pvt Ltd)","ROW-5598",NULL,NULL,"https://pallipragoti.com/",NULL,NULL,NULL,"Palli Pragoti Financial Services Pvt. Ltd. is a registered NBFC providing structured term financing solutions to farmers and low-income households, offering loans at reasonable interest rates.","MSME","{products:https://pallipragoti.com/our-products/,about:https://pallipragoti.com/about-us/,homepage:https://pallipragoti.com/,team:https://pallipragoti.com/team/}","medium","0.86"
699,"Pallonji Leasing Private Limited","ROW-5599",NULL,NULL,"https://www.mpallonjigroup.com/pallonji-leasing.html",NULL,NULL,NULL,"Pallonji Leasing Pvt Ltd is a Non Banking Finance Company (NBFC) that provides asset-backed finance for the purchase of passenger and commercial vehicles, barges, and other equipment under hire purchase, lease, and loan schemes.","MSME","{homepage:https://www.mpallonjigroup.com/pallonji-leasing.html}","medium","1.00"
700,"Pam Fincap Pvt. Ltd.","ROW-5605",NULL,NULL,"https://www.pamfincap.com/",NULL,NULL,NULL,"PAM Fincap Private Limited provides various loan products including home loans, auto loans, personal loans, business loans, and MSME loans with simple documentation and competitive interest rates.","MSME","{homepage:https://www.pamfincap.com/}","high","1.00"
701,"Pandarakalam Finance Private Limited","ROW-5619",NULL,NULL,"https://www.pandarakalamfinance.com/",NULL,NULL,NULL,"Pandarakalam Finance Pvt Ltd is a gold loan service provider that offers quick and easy gold loans with minimal documentation. The company has been in business for over 150 years, tracing its roots back to the Athirampuzha Market of Travancore. It provides various loan products with competitive interest rates.","Gold Loans","{products:https://www.pandarakalamfinance.com/gold-loan.html,about:https://www.pandarakalamfinance.com/about.html,homepage:https://www.pandarakalamfinance.com/}","medium","0.86"
702,"Pandinadu Finance Company Private Limited","ROW-5620",NULL,NULL,"https://pandinadufinance.com/about/",NULL,NULL,NULL,"Pandinadu Nbfc is a Non-Banking Financial Company (NBFC) registered under the Companies Act, 1956, engaged in lending and advances. It offers various loan schemes for commercial vehicles, consumers, government securities, and gold loans. The company has a minimum net owned fund of Rs. 5 crore, which will increase to Rs. 10 crore by 31.03.2027.","MSME","{team:https://pandinadufinance.com/contact/,about:https://pandinadufinance.com/what-is-non-banking-finance-company/,homepage:https://pandinadufinance.com/about/,products:https://pandinadufinance.com/}","medium","0.86"
703,"Paras Capfin Co. Pvt. Ltd.","TEMP-1771690965",NULL,NULL,"https://parascapfin.com/",NULL,NULL,NULL,"Parascapfin is an NBFC that provides Loan Against Property (LAP) loans to small business owners, allowing them to hold onto their properties while taking a loan against the mortgage. The company lends predominantly to self-employed/entrepreneurs in urban and semi-urban environments. It uses the LAP methodology.","MSME","{homepage:https://parascapfin.com/,about:https://parascapfin.com/company-overview/,team:https://parascapfin.com/partner-with-us/,products:https://parascapfin.com/loan-against-property/}","medium","0.86"
704,"Paras Credit Capital Private Limited","TEMP-1771690967",NULL,NULL,"https://parascapfin.com/",NULL,NULL,NULL,"Parascapfin is an NBFC that provides Loan Against Property (LAP) loans to small business owners who have established businesses and are in the process of expansion. The company lends predominantly to self-employed/entrepreneurs in Urban and Semi-urban environments. It uses the LAP methodology to serve its clients.","MSME","{homepage:https://parascapfin.com/,about:https://parascapfin.com/company-overview/,team:https://parascapfin.com/partner-with-us/,products:https://parascapfin.com/loan-against-property/}","high","1.00"
705,"Parichiti Software  Pvt.  Ltd.","TEMP-1771690970",NULL,NULL,"https://nbfcsoftware.co.in/index.html",NULL,NULL,NULL,"This NBFC provides customized software solutions for non-banking financial companies (NBFCs) to manage their operations, including loan tracking, EMI collections, and client portfolios. The software is designed to handle various banking facilities without a banking license. It offers features such as home loan mortgage loan business loan personal loan gold loan two wheeler loan vehicle loan lap loan consumer durable loan education loan unsecured loan group loan project finance real estate funding MSME loan RAW material funding.","MSME","{""team:https://nbfcsoftware.co.in/index.html/contact-us.html "",homepage:https://nbfcsoftware.co.in/index.html,""about:https://nbfcsoftware.co.in/index.html/about.html "",""products:https://nbfcsoftware.co.in/index.html/micro-finance-software.html ""}","high","1.00"
706,"Parishek Finance Private Limited","TEMP-1771690972",NULL,NULL,"https://parishekfinance.com/business-loan.html",NULL,NULL,NULL,"Parishek Finance Private Limited is an NBFC that provides business loans to small and medium enterprises, helping them grow through customized loan products tailored to their specific needs.","MSME","{homepage:https://parishekfinance.com/business-loan.html}","high","1.00"
707,"Parker Financial Services Private Limited","TEMP-1771690975",NULL,NULL,"https://parkerfinancial.com.au/",NULL,NULL,NULL,"Parker Financial is a self-licenced financial services company providing tailored wealth advice to individuals and families across Canberra and beyond, with over $1 billion in funds under management.","MSME","{homepage:https://parkerfinancial.com.au/,about:https://parkerfinancial.com.au/about-us/,team:https://parkerfinancial.com.au/about-us/,products:https://parkerfinancial.com.au/our-services/}","high","1.00"
708,"Parrami Finance Pvt Ltd","TEMP-1771690977",NULL,NULL,"https://www.parrami.com/",NULL,NULL,NULL,"Parrami Finance Private Limited is a Fund Based Non-Banking Finance Company registered with Reserve Bank of India, providing financing facilities and loans to Indian companies, MSME business enterprises, and startups.","MSME","{team:https://www.parrami.com/contactus/,homepage:https://www.parrami.com/}","low","0.86"
709,"Parshwa Credit And Finance Private Limited","TEMP-1771690980",NULL,NULL,"https://eipo.parshwaconsultancy.in/IPO/IPODetail/752",NULL,NULL,NULL,"Fedfina is a retail-focused non-banking finance company (NBFC) that offers various loan products, including mortgage loans, small ticket loan against property, medium ticket LAP, unsecured business loans, and gold loans, primarily catering to MSMEs and emerging self-employed individuals.","MSME","{homepage:https://eipo.parshwaconsultancy.in/IPO/IPODetail/752}","high","1.00"
710,"Patni Financial Advisors Pvt. Ltd.","TEMP-1771690983",NULL,NULL,"https://patniadvisors.com/",NULL,NULL,NULL,"Patni Financial Advisors is a registered NBFC that invests in publicly listed as well as private companies with a focus on long-term holding, primarily in the Consumer, Enterprise, and Fintech sectors.","Multi-Product","{homepage:https://patniadvisors.com/}","medium","0.86"
711,"Paul Merchants Finance Private Limited  (Formerly known as Paul Fincap Pvt. Ltd.)","TEMP-1771690985",NULL,NULL,"https://www.paulmerchants.net/paulmerchants/services/",NULL,NULL,NULL,"Paul Merchants Limited is a Public Limited Company offering various financial services including Foreign Exchange, International Money Transfer, Tours, Travels, Holidays Packages and Air Ticketing. The company has diversified interests in these fields and holds licenses issued by Reserve Bank of India to act as Authorized Dealer Category II. It is also an IATA accredited Travel Agency.","Multi-Product","{about:https://www.paulmerchants.net/paulmerchants/about-us/,homepage:https://www.paulmerchants.net/paulmerchants/services/,team:https://www.paulmerchants.net/paulmerchants/management/,products:https://www.paulmerchants.net/paulmerchants/services/}","high","1.00"
712,"Pavandham Investments & Finance Company Private Limited","TEMP-1771690986",NULL,NULL,"https://www.pavandhamin.com/",NULL,NULL,NULL,"PAVANDHAM INVESTMENTS AND FINANCE COMPANY PRIVATE LIMITED is a Non-Banking Financial Company (NBFC) providing various loan products, including business loans, auto loans, wedding loans, and travel loans. They offer lower interest rates, credit score improvement, and flexible repayment options. The company has over 20 years of experience in financial services.","Multi-Product","{homepage:https://www.pavandhamin.com/}","medium","0.86"
713,"Payme India Financial Services Private Limited","TEMP-1771690989",NULL,NULL,"https://www.paymeindia.in/our-nbfc-partners/",NULL,NULL,NULL,"PayMe offers a suite of innovative loan products and features, tailored to meet the unique needs of salaried, self-employed, and women customers. They provide personal loans, short-term loans, empowerment loans, MSME loans, credit assist, mutual funds loan, and check credit score services. The company aims to simplify finance for everyone.","Multi-Product","{about:https://www.paymeindia.in/our-nbfc-partners/about/,products:https://www.paymeindia.in/our-nbfc-partners/personal-loan/,homepage:https://www.paymeindia.in/our-nbfc-partners/,team:https://www.paymeindia.in/our-nbfc-partners/}","high","1.00"
714,"PCR Investments Limited","TEMP-1771690991",NULL,NULL,"https://www.pcrinvestments.com/",NULL,NULL,NULL,"PCR Investments Ltd is a public limited company that provides financial services, including investments in equity shares and consultancy services, as a Registered Non Banking Financial Company with Reserve Bank of India.","MSME","{homepage:https://www.pcrinvestments.com/}","high","1.00"
715,"Pdm Investment & Trading Co. (P) Ltd","TEMP-1771690993",NULL,NULL,"https://pdminvestment.com/",NULL,NULL,NULL,"PDM Investment Services is a distributor of financial products, providing investment-related services such as mutual funds, corporate fixed deposits, sovereign gold bonds, alternative investments, and insurance. They also offer tax and reporting services to their clients.","MSME","{homepage:https://pdminvestment.com/,team:https://pdminvestment.com/contact-us/,about:https://pdminvestment.com/about/,products:https://pdminvestment.com/services/}","low","0.86"
